strain,amr_determinant,amr_class,source_entity,source_layer,target_entity,target_layer,relationship,path_length,node_sequence,edge_sequence,evidence_type,evidence_source,observed_status
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS02995,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS02995,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS03025,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS03025,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS03120,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS03120,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS03245,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS03245,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS03330,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS03330,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS03355,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS03355,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS03365,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS03365,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS03395,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS03395,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS03400,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS03400,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS03415,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS03415,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS03420,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS03420,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS03515,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS03515,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS03520,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS03520,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS03630,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS03630,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS03800,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS03800,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS03860,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS03860,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS04000,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS04000,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS04085,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS04085,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS04525,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS04525,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS04595,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS04595,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS04820,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS04820,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS04860,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS04860,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS04980,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS04980,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS04990,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS04990,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS05115,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS05115,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS05120,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS05120,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS05150,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS05150,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS05170,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS05170,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS05175,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS05175,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
